listing_image_id,listing_id,shop_id,rank,url_75x75,url_170x135,url_570xN,url_fullxfull,alt_text,created_timestamp
90001,1001,29457183,1,https://i.etsystatic.com/example/il_75x75.90001.jpg,https://i.etsystatic.com/example/il_170x135.90001.jpg,https://i.etsystatic.com/example/il_570xN.90001.jpg,https://i.etsystatic.com/example/il_fullxfull.90001.jpg,Speckled white ceramic mug on wooden table,2024-01-15T09:35:00
90002,1001,29457183,2,https://i.etsystatic.com/example/il_75x75.90002.jpg,https://i.etsystatic.com/example/il_170x135.90002.jpg,https://i.etsystatic.com/example/il_570xN.90002.jpg,https://i.etsystatic.com/example/il_fullxfull.90002.jpg,Close-up of speckled glaze detail on mug,2024-01-15T09:36:00
90003,1001,29457183,3,https://i.etsystatic.com/example/il_75x75.90003.jpg,https://i.etsystatic.com/example/il_170x135.90003.jpg,https://i.etsystatic.com/example/il_570xN.90003.jpg,https://i.etsystatic.com/example/il_fullxfull.90003.jpg,Hand holding speckled white mug filled with coffee,2024-01-15T09:37:00
90004,1002,29457183,1,https://i.etsystatic.com/example/il_75x75.90004.jpg,https://i.etsystatic.com/example/il_170x135.90004.jpg,https://i.etsystatic.com/example/il_570xN.90004.jpg,https://i.etsystatic.com/example/il_fullxfull.90004.jpg,Midnight blue ramen bowl with chopsticks,2024-02-20T14:05:00
90005,1002,29457183,2,https://i.etsystatic.com/example/il_75x75.90005.jpg,https://i.etsystatic.com/example/il_170x135.90005.jpg,https://i.etsystatic.com/example/il_570xN.90005.jpg,https://i.etsystatic.com/example/il_fullxfull.90005.jpg,Top view of ramen bowl showing iron spots,2024-02-20T14:06:00
90006,1003,29457183,1,https://i.etsystatic.com/example/il_75x75.90006.jpg,https://i.etsystatic.com/example/il_170x135.90006.jpg,https://i.etsystatic.com/example/il_570xN.90006.jpg,https://i.etsystatic.com/example/il_fullxfull.90006.jpg,Sage green bud vase with single dried stem,2024-03-10T16:50:00
90007,1004,29457183,1,https://i.etsystatic.com/example/il_75x75.90007.jpg,https://i.etsystatic.com/example/il_170x135.90007.jpg,https://i.etsystatic.com/example/il_570xN.90007.jpg,https://i.etsystatic.com/example/il_fullxfull.90007.jpg,Ceramic pour over dripper sitting on white mug,2024-04-05T11:05:00
90008,1005,29457183,1,https://i.etsystatic.com/example/il_75x75.90008.jpg,https://i.etsystatic.com/example/il_170x135.90008.jpg,https://i.etsystatic.com/example/il_570xN.90008.jpg,https://i.etsystatic.com/example/il_fullxfull.90008.jpg,Set of four terracotta dinner plates stacked,2024-05-12T08:20:00
90009,1006,29457183,1,https://i.etsystatic.com/example/il_75x75.90009.jpg,https://i.etsystatic.com/example/il_170x135.90009.jpg,https://i.etsystatic.com/example/il_570xN.90009.jpg,https://i.etsystatic.com/example/il_fullxfull.90009.jpg,Three herb planters on windowsill with basil and rosemary,2024-05-28T13:35:00
90010,1007,29457183,1,https://i.etsystatic.com/example/il_75x75.90010.jpg,https://i.etsystatic.com/example/il_170x135.90010.jpg,https://i.etsystatic.com/example/il_570xN.90010.jpg,https://i.etsystatic.com/example/il_fullxfull.90010.jpg,Charcoal espresso cup and saucer with latte art,2024-06-15T09:05:00
90011,1008,29457183,1,https://i.etsystatic.com/example/il_75x75.90011.jpg,https://i.etsystatic.com/example/il_170x135.90011.jpg,https://i.etsystatic.com/example/il_570xN.90011.jpg,https://i.etsystatic.com/example/il_fullxfull.90011.jpg,Large ocean wave serving bowl overhead shot,2024-07-01T10:35:00
90012,1009,29457183,1,https://i.etsystatic.com/example/il_75x75.90012.jpg,https://i.etsystatic.com/example/il_170x135.90012.jpg,https://i.etsystatic.com/example/il_570xN.90012.jpg,https://i.etsystatic.com/example/il_fullxfull.90012.jpg,Custom name mug showing 'Sarah' carved into clay,2024-07-20T15:05:00
90013,1010,29457183,1,https://i.etsystatic.com/example/il_75x75.90013.jpg,https://i.etsystatic.com/example/il_170x135.90013.jpg,https://i.etsystatic.com/example/il_570xN.90013.jpg,https://i.etsystatic.com/example/il_fullxfull.90013.jpg,Ceramic soap dish with bar of soap on bathroom counter,2024-08-05T12:05:00
90014,1011,29457183,1,https://i.etsystatic.com/example/il_75x75.90014.jpg,https://i.etsystatic.com/example/il_170x135.90014.jpg,https://i.etsystatic.com/example/il_570xN.90014.jpg,https://i.etsystatic.com/example/il_fullxfull.90014.jpg,Tall textured white vase with dried eucalyptus,2024-08-22T09:35:00
90015,1013,29457183,1,https://i.etsystatic.com/example/il_75x75.90015.jpg,https://i.etsystatic.com/example/il_170x135.90015.jpg,https://i.etsystatic.com/example/il_570xN.90015.jpg,https://i.etsystatic.com/example/il_fullxfull.90015.jpg,Full dinnerware set arranged on farmhouse table,2024-09-25T14:05:00
90016,1017,29457183,1,https://i.etsystatic.com/example/il_75x75.90016.jpg,https://i.etsystatic.com/example/il_170x135.90016.jpg,https://i.etsystatic.com/example/il_570xN.90016.jpg,https://i.etsystatic.com/example/il_fullxfull.90016.jpg,Three seconds mugs showing minor glaze variations,2025-01-05T09:05:00
