review_id,shop_id,listing_id,buyer_user_id,rating,review,language,image_url,created_timestamp,updated_timestamp
7001,29457183,1001,55001,5,"Absolutely stunning mortar and pestle set! The red cedar has such a rich color and the carving work is exquisite. It's heavy and sturdy - clearly built to last. The grain pattern on mine is beautiful. Will definitely be ordering more pieces from this shop!","en",,2025-01-20T08:30:00,2025-01-20T08:30:00
7002,29457183,1003,55002,5,"This grain bowl is a work of art. The wood grain has so much depth and character. It's huge - perfect for serving salads at dinner parties! Shipped fast and arrived perfectly packaged with extra padding. You can tell the maker really cares.","en",https://i.etsystatic.com/example/review_7002.jpg,2025-02-08T19:15:00,2025-02-08T19:15:00
7003,29457183,1002,55003,4,"Beautiful rolling pins! I ordered two as a housewarming gift and the recipient loved them. Giving 4 stars only because one arrived with a small crack near the handle - not visible when using it but I noticed. Seller offered to replace but it really is minor.","en",,2025-02-18T12:00:00,2025-02-18T12:00:00
7004,29457183,1009,55004,5,"WOW. This eagle sculpture is a showstopper. Every guest who walks in comments on it. The feather detail is incredible - photos don't do it justice. Worth every penny and then some. This is museum-quality work from a backyard workshop.","en",https://i.etsystatic.com/example/review_7004.jpg,2025-03-05T17:45:00,2025-03-05T17:45:00
7005,29457183,1007,55005,5,"Ordered the beaded necklace for my mom for Mother's Day. The colors are vibrant and the craftsmanship is solid. She loves it and wears it constantly! The seller was great with communication about shipping timelines too.","en",,2025-03-10T09:20:00,2025-03-10T09:20:00
7006,29457183,1004,55006,4,"Gorgeous carved wood panel with incredible detail. The floral scrollwork is breathtaking. One edge has a slight roughness that could use a bit more sanding but it's barely noticeable once mounted. Looks amazing in our living room.","en",https://i.etsystatic.com/example/review_7006.jpg,2025-03-25T14:30:00,2025-03-25T14:30:00
7007,29457183,1012,55011,5,"Love this walking stick! The diamond willow patterns are so unique - like nature's own artwork. Perfectly balanced and comfortable to hold on long hikes. Had it custom-sized to my height and it's spot on. Highly recommend.","en",,2025-03-27T20:00:00,2025-03-27T20:00:00
7008,29457183,1006,55012,5,"These little tree bells are adorable! Each one is painted with such care and the colors are festive without being gaudy. Bought a dozen for the family Christmas tree and everyone wanted to know where I got them. Perfect stocking stuffers.","en",,2025-04-05T11:10:00,2025-04-05T11:10:00
7009,29457183,1005,55009,5,"Perfect market basket! Sturdy enough to haul produce from the farmers market and attractive enough to use as home decor. The weave is tight and even. Already planning to buy more as gifts for friends.","en",https://i.etsystatic.com/example/review_7009.jpg,2025-04-20T16:00:00,2025-04-20T16:00:00
7010,29457183,1013,55014,2,"The bangles arrived with one noticeably bent out of shape. I reached out to the seller who was responsive and offered a replacement but I'm disappointed with the original packaging - they were just tossed in a padded envelope. The designs are beautiful though so I'm hopeful the replacement set will arrive safely.","en",https://i.etsystatic.com/example/review_7010.jpg,2025-04-01T10:30:00,2025-04-01T10:30:00
7011,29457183,1010,55003,5,"Came back for more! Got the trout fly box this time and it's just as lovely as the rolling pins I bought before. The carved trout scene on the lid is incredibly detailed. My husband is a fly fisherman and he was speechless when he opened it.","en",,2025-03-15T13:00:00,2025-03-15T13:00:00
7012,29457183,1011,55002,5,"As a PNW native I'm picky about salmon art and this wall mount delivers! The form is dynamic - it really captures a salmon mid-leap. The painted details on the scales catch the light beautifully. Looks perfect above our mantel.","en",,2025-04-10T07:45:00,2025-04-10T07:45:00
